iter	Passed	Remaining
472	3737	4164
473	3744	4155
474	3751	4146
475	3759	4138
476	3766	4129
477	3773	4120
478	3780	4112
479	3788	4104
480	3796	4095
481	3803	4087
482	3811	4079
483	3818	4071
484	3826	4062
485	3833	4053
486	3841	4046
487	3848	4037
488	3855	4029
489	3864	4022
490	3872	4014
491	3879	4005
492	3887	3997
493	3894	3989
494	3902	3980
495	3908	3972
496	3915	3962
497	3923	3954
498	3929	3945
499	3936	3936
500	3943	3927
501	3951	3919
502	3957	3910
503	3963	3901
504	3971	3893
505	3978	3884
506	3986	3876
507	3993	3867
508	4000	3859
509	4007	3850
510	4015	3842
511	4022	3834
512	4030	3826
513	4038	3818
514	4045	3809
515	4053	3801
516	4059	3792
517	4067	3784
518	4074	3776
519	4082	3768
520	4089	3760
521	4097	3751
522	4104	3743
523	4111	3734
524	4118	3726
525	4125	3717
526	4133	3709
527	4140	3700
528	4147	3692
529	4154	3684
530	4161	3675
531	4169	3667
532	4177	3659
533	4183	3650
534	4190	3642
535	4197	3633
536	4204	3624
537	4211	3616
538	4218	3607
539	4225	3599
540	4232	3591
541	4240	3583
542	4248	3575
543	4253	3565
544	4261	3557
545	4268	3549
546	4276	3541
547	4282	3532
548	4289	3523
549	4297	3516
550	4304	3507
551	4312	3499
552	4319	3491
553	4326	3482
554	4332	3474
555	4340	3465
556	4347	3457
557	4354	3449
558	4361	3440
559	4368	3432
560	4376	3424
561	4383	3416
562	4391	3408
563	4398	3400
564	4405	3391
565	4413	3384
566	4420	3375
567	4428	3368
568	4435	3359
569	4442	3351
570	4452	3344
571	4459	3336
572	4466	3328
573	4473	3320
574	4481	3312
575	4488	3304
576	4496	3296
577	4503	3288
578	4511	3280
579	4518	3271
580	4525	3263
581	4532	3255
582	4540	3247
583	4547	3239
584	4555	3231
585	4562	3223
586	4569	3214
587	4576	3206
588	4583	3198
589	4591	3190
590	4598	3182
591	4605	3173
592	4611	3165
593	4619	3157
594	4625	3148
595	4632	3140
596	4640	3132
597	4646	3123
598	4654	3115
599	4661	3107
600	4668	3099
601	4675	3091
602	4682	3083
603	4690	3075
604	4697	3067
605	4705	3059
606	4711	3050
607	4718	3041
608	4725	3033
609	4732	3025
610	4737	3016
611	4744	3007
612	4752	3000
613	4760	2992
614	4767	2984
615	4774	2976
616	4781	2968
617	4788	2959
618	4795	2951
619	4802	2943
620	4808	2934
621	4816	2927
622	4824	2919
623	4831	2911
624	4838	2903
625	4845	2894
626	4852	2886
627	4859	2878
628	4867	2870
629	4874	2862
630	4881	2854
631	4889	2847
632	4896	2838
633	4903	2830
634	4909	2821
635	4916	2814
636	4923	2805
637	4930	2797
638	4938	2789
639	4945	2782
640	4953	2774
641	4959	2765
642	4967	2757
643	4974	2750
644	4982	2742
645	4989	2734
646	4997	2726
647	5004	2718
648	5011	2710
649	5018	2702
650	5025	2694
651	5032	2686
652	5038	2677
653	5046	2669
654	5052	2661
655	5059	2653
656	5066	2645
657	5073	2637
658	5081	2629
659	5088	2621
660	5096	2613
661	5103	2605
662	5111	2598
663	5119	2590
664	5127	2582
665	5134	2574
666	5141	2566
667	5148	2558
668	5155	2550
669	5162	2542
670	5170	2535
671	5178	2527
672	5185	2519
673	5192	2511
674	5199	2503
675	5207	2495
676	5214	2487
677	5220	2479
678	5228	2471
679	5235	2463
680	5243	2456
681	5250	2448
682	5257	2440
683	5265	2432
684	5273	2424
685	5279	2416
686	5288	2409
687	5294	2401
688	5301	2393
689	5309	2385
690	5316	2377
691	5324	2369
692	5331	2361
693	5339	2354
694	5346	2346
695	5353	2338
696	5361	2330
697	5368	2322
698	5375	2314
699	5382	2306
700	5389	2299
701	5397	2291
702	5404	2283
703	5411	2275
704	5418	2267
705	5425	2259
706	5433	2251
707	5440	2243
708	5447	2235
709	5454	2227
710	5461	2220
711	5469	2212
712	5477	2204
713	5485	2197
714	5492	2189
715	5498	2181
716	5506	2173
717	5512	2165
718	5520	2157
719	5527	2149
720	5535	2142
721	5542	2134
722	5550	2126
723	5557	2118
724	5564	2110
725	5572	2103
726	5578	2094
727	5586	2087
728	5593	2079
729	5600	2071
730	5607	2063
731	5615	2055
732	5622	2047
733	5629	2040
734	5636	2032
735	5643	2024
736	5651	2016
737	5658	2008
738	5666	2001
739	5673	1993
740	5680	1985
741	5687	1977
742	5694	1969
743	5701	1961
744	5707	1953
745	5714	1945
746	5721	1937
747	5728	1930
748	5735	1922
749	5742	1914
750	5749	1906
751	5756	1898
752	5763	1890
753	5771	1882
754	5778	1875
755	5785	1867
756	5792	1859
757	5799	1851
758	5806	1843
759	5813	1835
760	5819	1827
761	5827	1820
762	5833	1812
763	5841	1804
764	5849	1796
765	5855	1788
766	5862	1781
767	5870	1773
768	5877	1765
769	5884	1757
770	5891	1749
771	5898	1742
772	5905	1734
773	5913	1726
774	5920	1718
775	5927	1711
776	5935	1703
777	5941	1695
778	5948	1687
779	5955	1679
780	5963	1672
781	5970	1664
782	5977	1656
783	5984	1648
784	5992	1641
785	5999	1633
786	6006	1625
787	6013	1617
788	6021	1610
789	6028	1602
790	6036	1595
791	6044	1587
792	6051	1579
793	6059	1572
794	6066	1564
795	6073	1556
796	6081	1548
797	6088	1541
798	6095	1533
799	6103	1525
800	6110	1518
801	6117	1510
802	6124	1502
803	6130	1494
804	6137	1486
805	6145	1479
806	6152	1471
807	6160	1463
808	6167	1456
809	6174	1448
810	6181	1440
811	6188	1432
812	6196	1425
813	6203	1417
814	6210	1409
815	6217	1402
816	6224	1394
817	6233	1386
818	6241	1379
819	6249	1371
820	6256	1364
821	6263	1356
822	6270	1348
823	6278	1340
824	6285	1333
825	6292	1325
826	6299	1317
827	6306	1310
828	6314	1302
829	6321	1294
830	6330	1287
831	6338	1279
832	6344	1272
833	6352	1264
834	6358	1256
835	6366	1248
836	6373	1241
837	6380	1233
838	6388	1225
839	6395	1218
840	6402	1210
841	6409	1202
842	6417	1195
843	6424	1187
844	6432	1179
845	6439	1172
846	6446	1164
847	6453	1156
848	6461	1149
849	6468	1141
850	6475	1133
851	6483	1126
852	6490	1118
853	6498	1110
854	6505	1103
855	6511	1095
856	6519	1087
857	6526	1080
858	6534	1072
859	6541	1064
860	6549	1057
861	6555	1049
862	6562	1041
863	6569	1034
864	6576	1026
865	6583	1018
866	6590	1011
867	6597	1003
868	6604	995
869	6612	988
870	6619	980
871	6626	972
872	6633	965
873	6640	957
874	6648	949
875	6656	942
876	6663	934
877	6669	926
878	6677	919
879	6684	911
880	6691	903
881	6700	896
882	6707	888
883	6713	880
884	6725	873
885	6735	866
886	6745	859
887	6754	851
888	6761	844
889	6768	836
890	6776	828
891	6783	821
892	6790	813
893	6797	805
894	6804	798
895	6812	790
896	6819	783
897	6827	775
898	6833	767
899	6842	760
900	6849	752
901	6857	745
902	6864	737
903	6871	729
904	6879	722
905	6886	714
906	6893	706
907	6900	699
908	6908	691
909	6916	684
910	6923	676
911	6930	668
912	6938	661
913	6945	653
914	6952	645
915	6959	638
916	6966	630
917	6973	622
918	6979	615
919	6987	607
920	6993	599
921	7001	592
922	7009	584
923	7016	577
924	7023	569
925	7031	561
926	7039	554
927	7046	546
928	7053	539
929	7061	531
930	7068	523
931	7075	516
932	7083	508
933	7090	501
934	7097	493
935	7104	485
936	7112	478
937	7119	470
938	7126	462
939	7134	455
940	7141	447
941	7148	440
942	7155	432
943	7162	424
944	7171	417
945	7177	409
946	7185	402
947	7192	394
948	7200	386
949	7206	379
950	7213	371
951	7220	364
952	7227	356
953	7235	348
954	7243	341
955	7250	333
956	7257	326
957	7265	318
958	7272	310
959	7279	303
960	7286	295
961	7293	288
962	7300	280
963	7308	272
964	7315	265
965	7322	257
966	7330	250
967	7336	242
968	7344	234
969	7352	227
970	7358	219
971	7366	212
972	7373	204
973	7381	197
974	7388	189
975	7393	181
976	7401	174
977	7408	166
978	7415	159
979	7422	151
980	7430	143
981	7437	136
982	7444	128
983	7452	121
984	7459	113
985	7466	106
986	7473	98
987	7481	90
988	7488	83
989	7495	75
990	7502	68
991	7510	60
992	7517	52
993	7524	45
994	7531	37
995	7538	30
996	7546	22
997	7553	15
998	7561	7
999	7568	0
